;ADDRESS;CITY;REGION;Postamat_daily;cashbox_daily;Postamat_trend;cashbox_MAX;cashbox_trend;hh_500;value1;value2;POPULATION;NEAR_Malls;NEAR_Business_centers;NEAR_metro_rjd;NEAR_Stations;macro_salary_avg_yearly
20;г.Тула, Болдина ул., 98;ТУЛА;Тульская область;;;;;;5082;10042;3003;482873;1;1;;остановка;387679
21;г.Обнинск, Маркса пр-кт, 34;ОБНИНСК;Калужская область;;;;;;4982;10087;3159;104739;0;1;;остановка;423321
22;г.Обнинск, Энгельса ул., 17;ОБНИНСК;Калужская область;;;;;;7836;10054;3075;104739;0;0;;остановка;423321
23;г.Обнинск, Маркса пр-кт, 79;ОБНИНСК;Калужская область;;3.5;;13;1;7490;10096;3054;104739;0;0;;остановка;423321
24;г.Обнинск, Аксенова ул, 16;ОБНИНСК;Калужская область;;4.4;;14;1;6109;10048;2978;104739;1;1;;;423321
25;г.Тула, Макаренко ул., 9 Б;ТУЛА;Тульская область;;;;;;6469;10061;3010;482873;1;0;;;387679
26;г.Калуга, Секиотовское кольцо ул, 5;КАЛУГА;Калужская область;;0.4;;3;1;237;10100;3205;324698;1;0;;;423321
27;г.Калуга, Советская ул., 118Б;КАЛУГА;Калужская область;;1.3;;7;0;1734;10098;3194;324698;1;0;;остановка;423321
28;г.Калуга, Максима Горького ул., 41;КАЛУГА;Калужская область;;1.6;;10;1;8197;9992;2831;324698;0;0;;;423321
29;г.Калуга, Калужского Ополчения ул., 2;КАЛУГА;Калужская область;4;1.8;0;7;1;1834;10100;3204;324698;0;0;;;423321
30;г.Калуга, Социалистическая ул., 11;КАЛУГА;Калужская область;4;2.1;0;9;1;4219;10071;3067;324698;1;0;;;423321
31;г.Тула, Революции ул., 22;ТУЛА;Тульская область;3;;1;;;7395;10048;3015;482873;0;0;;;387679
32;г.Новомосковск, Калинина ул., 14;НОВОМОСКОВСК;Тульская область;;1.8;;7;1;4608;10059;3055;131386;1;1;;остановка;387679
33;г.Тула, Калужское ш., 2;ТУЛА;Тульская область;;;;;;3971;10094;3096;482873;1;0;;;387679
34;г.Калуга, Дзержинского ул., 38;КАЛУГА;Калужская область;;;;;;3148;10053;3083;324698;1;0;;;423321
35;г.Обнинск, Курчатова ул., 26 А;ОБНИНСК;Калужская область;;1.3;;9;1;2929;10098;3243;104739;0;0;;;423321
36;г.Щекино, Мира ул., 16;ЩЁКИНО;Тульская область;2;;0;;;5212;10096;3185;58139;0;0;;;387679
37;г.Калуга, Генерала Попова ул., 2/1 стр.4;КАЛУГА;Калужская область;6;3.2;0;11;1;2944;10095;3180;324698;0;0;;;423321
38;г.Тула, Ленина пр-кт, 129 п.1;ТУЛА;Тульская область;5;;0;;;5730;10062;3106;482873;0;0;;остановка;387679
39;г.Калуга, Хрустальная ул, 18;КАЛУГА;Калужская область;3;2.4;1;13;1;3093;10090;3075;324698;0;0;;остановка;423321
40;г.Тула, М.Горького ул., 14;ТУЛА;Тульская область;2;;0;;;6043;10070;2987;482873;0;0;;;387679
41;г.Тула, Пушкинская ул., 57Б;ТУЛА;Тульская область;2;;1;;;8114;9977;2786;482873;0;1;;;387679
42;п.Воротынск, Центральная ул., 3;ВОРОТЫНСК;Калужская область;;;;;;2022;10094;3139;11288;0;0;1;;423321
43;г.Тула, Октябрьская ул, 48 Б;ТУЛА;Тульская область;;;;;;5223;9987;2939;482873;1;0;;остановка;387679
44;г.Щекино, Лукашина ул., 8;ЩЁКИНО;Тульская область;2;;0;;;4632;10097;3202;58139;0;0;;;387679
45;г.Калуга, Фомушина ул., 11;КАЛУГА;Калужская область;;3.8;;13;1;3432;10093;3062;324698;0;0;;остановка;423321
46;г.Тула, Ленина пр-кт, 35 п.1;ТУЛА;Тульская область;2;4.1;0;15;;2166;9994;3042;482873;1;1;;остановка;387679
47;г.Калуга, Маяковского ул, 47А;КАЛУГА;Калужская область;;1.2;;8;1;5217;10040;2983;324698;0;0;;остановка;423321
48;г.Калуга, Гурьянова ул., 7;КАЛУГА;Калужская область;;;;;;1748;10063;2968;324698;0;0;1;остановка;423321
49;г.Ефремов, Тульское шоссе, 18 п.1-25;ЕФРЕМОВ;Тульская область;;0.9;;5;1;4221;10094;3248;42350;0;0;;;387679
50;г.Ефремов, Ленина ул., 29;ЕФРЕМОВ;Тульская область;;1.4;;8;1;5138;10089;3253;42350;0;0;;;387679
51;г.Обнинск, Ленина пр-т, 208;ОБНИНСК;Калужская область;;1.1;;7;1;3764;10098;3135;104739;0;0;;остановка;423321
52;г.Обнинск, Маркса пр-т, 65В;ОБНИНСК;Калужская область;;2.5;;11;1;6143;10056;2915;104739;0;0;;;423321
53;г.Щекино, Юбилейная ул., 19;ЩЁКИНО;Тульская область;2;;0;;;5903;10073;3092;58139;1;0;;;387679
54;г.Тула, Николая Руднева ул, 12;ТУЛА;Тульская область;3;;1;;;3552;10092;3131;482873;0;0;;остановка;387679
55;г.Калуга, Братьев Луканиных ул, 23;КАЛУГА;Калужская область;2;1.3;1;6;1;3105;10076;3071;324698;0;0;;;423321
56;г.Тула, Михеева ул., 11;ТУЛА;Тульская область;2;;1;;;5137;10068;2996;482873;0;0;;;387679
57;г.Балабаново, 50 лет Октября ул, 7;БАЛАБАНОВО;Калужская область;;1.2;;8;1;2701;10099;3410;26337;0;0;;;423321
58;г.Калуга, Баррикад ул, 157;КАЛУГА;Калужская область;2;1.1;1;5;1;5619;10059;2939;324698;0;0;;;423321
59;г.Обнинск, Курчатова ул., 6;ОБНИНСК;Калужская область;2;3.3;1;13;1;4412;10073;3064;104739;1;0;;остановка;423321
60;г.Калуга, Тульская ул., 20;КАЛУГА;Калужская область;;2.1;;8;1;6326;9966;2821;324698;0;0;;;423321
61;г.Калуга, Фридриха Энгельса ул, 89 п.2;КАЛУГА;Калужская область;;1;;9;1;8088;9933;2662;324698;0;0;;остановка;423321
62;г.Обнинск, Маркса пр-кт, 30 Б;ОБНИНСК;Калужская область;;2;;6;1;3390;10052;2976;104739;0;1;;;423321
63;г.Тула, Советская ул, 72;ТУЛА;Тульская область;;;;;;1072;10036;3090;482873;1;0;;остановка;387679
64;г.Тула, Болдина ул;ТУЛА;Тульская область;;;;;;4456;10039;2974;482873;1;0;;остановка;387679
65;г.Калуга, Маршала Жукова ул, 20 п.1;КАЛУГА;Калужская область;;0.7;;5;1;6784;9974;2847;324698;0;0;;остановка;423321
66;г.Балабаново, Лесная ул., 6;БАЛАБАНОВО;Калужская область;;2;;8;1;3860;10096;3197;26337;0;0;;;423321
67;г.Калуга, Платова ул, 19;КАЛУГА;Калужская область;;2.5;;10;1;6693;10007;2766;324698;0;0;;;423321
68;г.Калуга, Николо-Козинская ул, 58;КАЛУГА;Калужская область;;2.1;;10;0;6200;9929;2623;324698;0;1;;;423321
69;г.Калуга, Московская ул., 336А;КАЛУГА;Калужская область;3;;0;;;4573;10066;2983;324698;0;0;;остановка;423321
70;г.Тула, Арсенальная ул, 5;ТУЛА;Тульская область;3;;1;;;5423;10050;2931;482873;0;0;;;387679
71;г.Калуга, Маяковского ул., 66;КАЛУГА;Калужская область;4;1.7;1;8;1;4357;10045;2928;324698;0;0;;остановка;423321
72;г.Тула, Ложевая ул., 126;ТУЛА;Тульская область;3;;1;;;9775;9959;2759;482873;0;0;;остановка;387679
73;г.Обнинск, Гагарина ул., 45;ОБНИНСК;Калужская область;2;;0;;;5602;10052;2897;104739;1;0;;;423321
74;г.Калуга, Спартака ул, 5 п.2;КАЛУГА;Калужская область;;1.6;;8;1;4901;10023;2892;324698;0;0;;остановка;423321
75;г.Тула, Металлургов ул, 43;ТУЛА;Тульская область;;;;;;6036;9973;2829;482873;0;0;;;387679
76;г.Тула, Металлургов 2-й пр-д, 3А;ТУЛА;Тульская область;;;;;;6122;9984;2767;482873;0;0;;;387679
77;г.Обнинск, Ленина пр-кт, 146;ОБНИНСК;Калужская область;;1.1;;5;1;5640;10053;2850;104739;0;0;;;423321
78;г.Калуга, Тарутинская ул., 184 Б;КАЛУГА;Калужская область;;0.3;;2;1;2573;10053;2987;324698;0;0;;остановка;423321
79;г.Калуга, Дорожная ул., 6;КАЛУГА;Калужская область;;1.8;;7;1;3086;10060;2945;324698;0;0;;;423321
80;г.Калуга, Ленина ул., 70;КАЛУГА;Калужская область;;1.9;;10;0;6045;9973;2782;324698;0;0;;;423321
81;г.Обнинск, Гагарина ул., 30;ОБНИНСК;Калужская область;;2.2;;11;1;5225;10023;2881;104739;0;0;;;423321
82;п.Заокский, Поленова ул.;ЗАОКСКИЙ;Тульская область;;;;;;354;10100;3238;7117;0;0;;;387679
83;рп.Плеханово, Заводская ул., 14А;ПЛЕХАНОВО;Тульская область;;;;;;2071;10099;3187;9171;0;0;;остановка;387679
84;г.Тула, Хворостухина ул., 3;ТУЛА;Тульская область;4;;1;;;6226;9984;2701;482873;0;0;;;387679
85;г.Тула, Гоголевская ул., 69;ТУЛА;Тульская область;2;;0;;;6274;9971;2780;482873;0;0;;;387679
86;г.Новомосковск, Октябрьская ул., 11/14;НОВОМОСКОВСК;Тульская область;;0.6;;6;1;4235;10037;2957;131386;0;0;;;387679
87;г.Алексин, Тульская ул., 131 А;АЛЕКСИН;Тульская область;2;;0;;;3365;10088;3069;61732;0;0;;;387679
88;г.Щекино, Ленина ул., 53;ЩЁКИНО;Тульская область;;;;;;3938;10087;3091;58139;0;0;;;387679
89;г.Узловая, Гагарина ул, стр.87;УЗЛОВАЯ;Тульская область;;;;;;4310;10031;2965;55282;1;0;;;387679
90;г.Донской, Октябрьская ул., 78/15;ДОНСКОЙ;Тульская область;;;;;;3611;10081;3110;64552;0;0;;;387679
91;г.Калуга, Гурьянова ул., 69;КАЛУГА;Калужская область;;2.5;;12;1;2957;10074;2962;324698;0;0;;;423321
92;г.Тула, Кутузова ул, 102;ТУЛА;Тульская область;;;;;;4928;10001;2827;482873;0;0;;;387679
93;г.Тула, Гоголевская ул, 73 п.9;ТУЛА;Тульская область;2;;0;;;6772;9943;2695;482873;0;0;;;387679
94;г.Тула, Демидовская ул., 68;ТУЛА;Тульская область;;;;;;6227;9933;2682;482873;1;0;;;387679
95;г.Калуга, Постовалова ул, 12;КАЛУГА;Калужская область;;2.3;;9;1;3749;10018;2870;324698;0;0;;остановка;423321
96;г.Обнинск, Курчатова ул, 56;ОБНИНСК;Калужская область;;;;;;5063;9982;2728;104739;0;0;;остановка;423321
97;г.Калуга, Тарутинская ул., 105Г;КАЛУГА;Калужская область;2;1.3;0;8;1;2413;10053;2883;324698;1;0;;;423321
98;г.Венев, Бундурина ул., 7;ВЕНЁВ;Тульская область;;;;;;1045;10099;3102;15224;1;0;;;387679
99;г.Тула, Путейская ул., 3;ТУЛА;Тульская область;3;;0;;;2042;9931;2693;482873;1;0;1;остановка;387679
100;г.Обнинск, Кутузова ул, 9;ОБНИНСК;Калужская область;2;1.9;0;12;1;3170;10062;2901;104739;0;0;;;423321
101;г.Новомосковск, Дружбы-Мира, 1/24;НОВОМОСКОВСК;Тульская область;;1.1;;7;1;3682;10016;2940;131386;0;0;;остановка;387679
102;г.Алексин, 50 лет Октября ул., 5;АЛЕКСИН;Тульская область;;1.3;;8;1;3996;10058;3028;61732;0;0;;;387679
103;г.Алексин, Арматурная ул., 10/16;АЛЕКСИН;Тульская область;;1.1;;9;1;3579;10074;3009;61732;0;0;;;387679
104;г.Тула, Большая ул, 8А;ТУЛА;Тульская область;;;;;;1335;10069;2918;482873;0;0;;;387679
105;г.Тула, Городской пер., 54;ТУЛА;Тульская область;;;;;;2191;10051;2908;482873;0;0;;;387679
106;г.Калуга, Энтузиастов б-р, 2 Б;КАЛУГА;Калужская область;;1.1;;4;1;2322;10053;2896;324698;0;0;;;423321
107;г.Калуга, Азаровская ул, 24;КАЛУГА;Калужская область;;1.3;;7;1;1526;10003;2859;324698;0;0;;остановка;423321
108;г.Богородицк, Урицкого ул., 25;БОГОРОДИЦК;Тульская область;;1.1;;7;1;3534;10090;3051;31897;0;0;;;387679
109;г.Калуга, Московская ул., 231;КАЛУГА;Калужская область;;0.5;;3;0;2415;10019;2828;324698;0;0;;;423321
110;г.Калуга, Грабцевское ш., 85;КАЛУГА;Калужская область;2;1.2;0;6;1;1493;10026;2809;324698;0;0;;;423321
111;г.Тула, Калужское ш., 1;ТУЛА;Тульская область;;;;;;4286;9969;2764;482873;1;0;;;387679
112;г.Тула, Пушкина ул., 9;ТУЛА;Тульская область;;;;;;3462;10005;2820;482873;0;0;;;387679
113;г.Узловая, Пушкина ул., 12;УЗЛОВАЯ;Тульская область;2;;0;;;3991;10071;3041;55282;0;0;;;387679
114;г.Донской, Центральный мкр, Заводская ул., 9 А;ДОНСКОЙ;Тульская область;;0.2;;3;;2523;10040;3028;64552;1;0;;остановка;387679
115;г.Донской, Новая ул., 64;ДОНСКОЙ;Тульская область;;;;;;2089;9992;2842;64552;0;0;1;;387679
116;г.Калуга, Анненки ул., 18 пом.4;КАЛУГА;Калужская область;2;1.4;0;8;1;2164;10033;2851;324698;0;0;;остановка;423321
117;г.Тула, Федора Смирнова ул., 5 к.2;ТУЛА;Тульская область;2;;1;;;3900;10009;2844;482873;0;0;;остановка;387679
118;г.Тула, Кауля ул, 62А;ТУЛА;Тульская область;1;;0;;;3648;10027;2842;482873;0;0;;;387679
119;г.Тула, Седова ул., 26;ТУЛА;Тульская область;2;;0;;;3338;10043;2842;482873;0;0;;остановка;387679
120;г.Калуга, Советская ул, 5А;КАЛУГА;Калужская область;2;1.3;1;9;1;887;9987;2809;324698;1;0;;остановка;423321
121;г.Тула, Вильямса ул, 6;ТУЛА;Тульская область;4;;0;;;4081;9987;2799;482873;0;0;;остановка;387679
122;г.Калуга, Пролетарская ул., 21;КАЛУГА;Калужская область;1;1.3;1;5;1;4937;9955;2703;324698;0;0;;;423321
123;г.Калуга, Ленина ул, 8;КАЛУГА;Калужская область;1;1.1;0;4;;2127;9936;2680;324698;0;0;1;остановка;423321
124;г.Калуга, Болотникова ул, 21;КАЛУГА;Калужская область;;1.2;;4;1;3595;9970;2763;324698;0;0;;;423321
125;г.Обнинск, Маркса пр-кт, 114;ОБНИНСК;Калужская область;;2.3;;12;1;3870;9970;2794;104739;1;0;;остановка;423321
126;г.Новомосковск, Школьная ул, 21А;НОВОМОСКОВСК;Тульская область;;1.1;;6;1;3295;10016;2871;131386;0;0;;;387679
127;г.Узловая, Беклемищева ул., 34;УЗЛОВАЯ;Тульская область;;;;;;3343;10036;2929;55282;0;0;;;387679
128;г.Щекино, Энергетиков ул., 13;ЩЁКИНО;Тульская область;;;;;;3076;10031;2843;58139;1;0;;;387679
129;г.Калуга, д.Шопино;КАЛУГА;Калужская область;;;;;;680;10020;2859;324698;0;0;;;423321
130;г.Тула, Перекопская ул, 9;ТУЛА;Тульская область;2;;0;;;2831;10017;2824;482873;0;0;;;387679
131;г.Калуга, Дорожная ул, 34;КАЛУГА;Калужская область;;0.8;;6;0;1794;9991;2774;324698;0;0;;остановка;423321
132;г.Калуга, Гурьянова ул, 28 А;КАЛУГА;Калужская область;;0.6;;4;0;2654;9999;2766;324698;0;0;;;423321
133;г.Людиново, Маяковского ул., 3;ЛЮДИНОВО;Калужская область;;2.6;;12;1;3620;10024;2969;40530;0;0;;;423321
134;г.Калуга, Тарутинская ул, 225;КАЛУГА;Калужская область;;2.4;;13;1;2946;9996;2736;324698;0;0;;остановка;423321
135;г.Калуга, Московская ул, 251;КАЛУГА;Калужская область;;1;;9;1;492;10005;2963;324698;0;0;;остановка;423321
136;г.Тула, Одоевское ш, 17А;ТУЛА;Тульская область;;;;;;2487;9990;2811;482873;0;0;;остановка;387679
137;г.Тула, Скуратовский мкр, 7;ТУЛА;Тульская область;;;;;;1909;10035;2804;482873;0;0;;;387679
138;г.Новомосковск, Бережного ул, 3;НОВОМОСКОВСК;Тульская область;;0.5;;4;0;2369;9932;2743;131386;0;0;1;;387679
139;г.Новомосковск, мкр.Сокольники, Шахтерская ул, 4;Новомосковск;Тульская область;;0.8;;4;0;2330;10092;3032;500;0;0;;остановка;387679
140;г.Новомосковск, Рудничная ул., 17В;НОВОМОСКОВСК;Тульская область;1;;0;;;2639;10029;2912;131386;0;0;;остановка;387679
141;г.Обнинск, Пирогова ул, 18А;ОБНИНСК;Калужская область;;1.1;;6;1;1972;10058;2873;104739;0;0;;;423321
142;г.Щекино, Пионерская ул, 22;ЩЁКИНО;Тульская область;;;;;;2239;10069;2993;58139;0;0;;;387679
143;г.Алексин, Ленина ул., 26;АЛЕКСИН;Тульская область;;0.9;;6;1;2669;10073;3011;61732;0;0;;;387679
144;г.Щекино, Лукашина ул., 6;ЩЁКИНО;Тульская область;;;;;;4226;9979;2865;58139;1;0;;;387679
145;г.Алексин, Героев Алексинцев ул., 5;АЛЕКСИН;Тульская область;;;;;;3394;9997;2900;61732;0;0;;;387679
146;г.Киреевск, Чехова ул., 10;КИРЕЕВСК;Тульская область;;;;;;5468;10027;2877;25557;0;0;;;387679
147;г.Калуга, Валентины Никитиной ул., 21 Б;КАЛУГА;Калужская область;2;1;0;6;1;2544;9989;2797;324698;0;0;;;423321
148;г.Киров, Фурманова ул., 7;КИРОВ;Калужская область;1;1.8;0;11;1;1950;10087;3035;31882;0;0;;;423321
149;г.Тула, Максима Горького ул, 10 Д;ТУЛА;Тульская область;4;;0;;;5457;9938;2643;482873;0;0;;;387679
150;г.Балабаново, Боровская ул., 56;БАЛАБАНОВО;Калужская область;;;;;;1424;10099;2970;26337;0;0;;;423321
151;г.Белоусово, Московская ул., 82;БЕЛОУСОВО;Калужская область;;;;;;1379;10097;2962;8412;0;0;;;423321
152;г.Обнинск, Ленина пр-кт, 207,п.133 п.134,136;ОБНИНСК;Калужская область;2;2.2;1;11;1;2455;10051;2833;104739;0;0;;;423321
153;г.Новомосковск, Донской пр-д, 3;НОВОМОСКОВСК;Тульская область;;0.8;;5;1;4086;9929;2654;131386;1;0;;остановка;387679
154;г.Новомосковск, Мира ул, 22А;НОВОМОСКОВСК;Тульская область;;0.8;;4;1;3478;9972;2783;131386;1;0;;остановка;387679
155;г.Алексин, 50 лет Октября ул, 8 кв.1-9,11-;АЛЕКСИН;Тульская область;;;;;;5046;9935;2760;61732;0;0;;;387679
156;г.Калуга, Хрустальная ул, 60А пом.1;КАЛУГА;Калужская область;;0.8;;5;1;2748;9959;2777;324698;0;0;;остановка;423321
157;г.Кременки, Победы ул., 2;КРЕМЁНКИ;Калужская область;;1.3;;7;1;3038;10060;2892;11582;0;0;;;423321
158;г.Людиново, 20 лет Октября ул., 69А стр.1;ЛЮДИНОВО;Калужская область;;;;;;3546;10014;2846;40530;0;0;;;423321
159;г.Калуга, Грабцевское ш., 18;КАЛУГА;Калужская область;1;0.4;0;2;;1692;9933;2692;324698;0;0;;остановка;423321
160;г.Калуга, Сиреневый б-р, 14 п.магазин;КАЛУГА;Калужская область;;2.4;;9;1;3848;9959;2669;324698;0;0;;;423321
161;г.Калуга, Энтузиастов б-р, 1;КАЛУГА;Калужская область;;0.8;;5;1;3105;9939;2650;324698;0;0;;;423321
162;г.Тула, Московская ул, 34;ТУЛА;Тульская область;;;;;;3514;9917;2479;482873;0;1;;остановка;387679
163;г.Новомосковск, Мира ул, 10А;НОВОМОСКОВСК;Тульская область;;0.8;;6;1;2150;9928;2622;131386;0;0;1;;387679
164;г.Новомосковск, Вахрушева ул, 63А;НОВОМОСКОВСК;Тульская область;;;;;;2360;9945;2635;131386;0;0;1;;387679
165;г.Обнинск, Привокзальная ул., 1;ОБНИНСК;Калужская область;;;;;;2494;9973;2796;104739;1;0;;остановка;423321
166;г.Щекино, Льва Толстого ул., 25;ЩЁКИНО;Тульская область;;;;;;2167;10039;2957;58139;0;0;;;387679
167;рп.Первомайск, Улитина пр-кт, 11;ПЕРВОМАЙСКИЙ;Тульская область;;;;;;1731;10064;3015;10058;0;0;;;387679
168;г.Тула, Генерала Маргелова ул., 9 стр.1;ТУЛА;Тульская область;3;;0;;;2115;10005;2781;482873;0;0;;;387679
169;г.Суворов, Кирова ул, 5;СУВОРОВ;Тульская область;;;;;;3170;10022;2920;18973;0;0;;;387679
170;г.Плавск, Коммунаров ул., 72 А;ПЛАВСК;Тульская область;;;;;;1747;10080;3013;16165;0;0;;;387679
171;г.Венев, Южный мкр, 45;ВЕНЁВ;Тульская область;;;;;;1672;10085;3008;15224;0;0;;;387679
172;г.Белев, Рабочая ул., 98А;БЕЛЁВ;Тульская область;;;;;;1907;10093;2971;13918;0;0;;;387679
173;г.Белоусово, Гурьянова ул, 20/1;БЕЛОУСОВО;Калужская область;;0.8;;6;1;2648;10063;2964;8412;0;0;;;423321
174;г.Малоярославец, Российских Газовиков ул, 9;МАЛОЯРОСЛАВЕЦ;Калужская область;;1.7;;6;1;1191;10074;2932;30392;0;0;;;423321
175;с.Детчино, Московская ул, 2В;ДЕТЧИНО;Калужская область;;;;;;794;10098;2928;5010;0;0;;;423321
176;г.Новомосковск, Бережного ул., 12Б;НОВОМОСКОВСК;Тульская область;3;;1;;;3834;9964;2836;131386;0;0;;;387679
177;г.Балабаново, Московская ул., 21В;БАЛАБАНОВО;Калужская область;;;;;;833;10097;2920;26337;0;0;;;423321
178;с.Льва Толстого, Пушкина ул, 38;ЛЬВА ТОЛСТОГО;Калужская область;;;;;;1078;10064;2902;3681;0;0;;;423321
179;г.Малоярославец, Московская ул., 66;МАЛОЯРОСЛАВЕЦ;Калужская область;;1.2;;5;1;1534;10092;2867;30392;0;0;;;423321
180;п.Жилетово, б/у, 6А пом.7;ЖИЛЕТОВО;Калужская область;;;;;;1341;9965;2719;3090;0;0;1;;423321
181;г.Новомосковск, Демкина ул., 7А;НОВОМОСКОВСК;Тульская область;2;;0;;;3852;9951;2712;131386;0;0;;;387679
182;г.Новомосковск, Маяковского ул, 18;НОВОМОСКОВСК;Тульская область;;0.7;;4;1;3134;9977;2743;131386;0;0;;;387679
183;г.Новомосковск, Трудовой проезд, 2Б;НОВОМОСКОВСК;Тульская область;;0.3;;2;1;5279;9914;2464;131386;0;0;;остановка;387679
184;г.Обнинск, Гагарина ул, 52 п374,п375;ОБНИНСК;Калужская область;;1.5;;5;1;3190;9958;2651;104739;0;0;;;423321
185;г.Новомосковск, Комсомольская/Октябрьская ул, 34/25;НОВОМОСКОВСК;Тульская область;;2.1;;16;1;3656;9936;2725;131386;0;0;;;387679
186;г.Новомосковск, Трудовой проезд, 9Г;НОВОМОСКОВСК;Тульская область;;0.2;;1;;3789;9970;2746;131386;0;0;;;387679
187;г.Узловая, Трегубова ул., 33;УЗЛОВАЯ;Тульская область;;;;;;3124;9981;2821;55282;0;0;;;387679
188;г.Суворов, Тульская ул., 13;СУВОРОВ;Тульская область;;1.1;;6;1;3684;10034;2875;18973;0;0;;;387679
189;г.Богородицк, Пушкинская ул., 14;БОГОРОДИЦК;Тульская область;;0.7;;5;1;3250;9995;2873;31897;0;0;;;387679
190;г.Киреевск, Гагарина ул., 10;КИРЕЕВСК;Тульская область;;1.5;;7;1;4692;10002;2786;25557;0;0;;;387679
191;г.Суворов, Ленинского Юбилея ул, 2Б;СУВОРОВ;Тульская область;;0.5;;4;0;3032;10010;2868;18973;0;0;;;387679
192;г.Тула, Оборонная ул, 25;ТУЛА;Тульская область;1;;0;;;1042;9945;2763;482873;0;0;;остановка;387679
193;г.Калуга, Зерновая ул., 15 Г;КАЛУГА;Калужская область;1;0.3;0;2;1;859;9964;2760;324698;0;0;;остановка;423321
194;г.Калуга, Ромодановские Дворики ул, 59;КАЛУГА;Калужская область;;0.3;;3;1;420;10019;2753;324698;0;0;;остановка;423321
195;г.Тула, Серебровская ул., 16 В;ТУЛА;Тульская область;;;;;;1464;9981;2742;482873;0;0;;;387679
196;г.Калуга, 40-летия Октября ул, 3;КАЛУГА;Калужская область;;;;;;768;9960;2694;324698;0;0;;остановка;423321
197;г.Калуга, В.Никитиной ул, 37А;КАЛУГА;Калужская область;;0.4;;2;0;1885;9927;2602;324698;0;0;;остановка;423321
198;г.Калуга, Салтыкова-Щедрина ул, 74;КАЛУГА;Калужская область;;;;;;2185;9924;2569;324698;0;0;;остановка;423321
199;г.Тула, Стадионный пр-д, 1;ТУЛА;Тульская область;;;;;;845;10004;2750;482873;0;0;;;387679
200;г.Тула, Бондаренко ул, 35А;ТУЛА;Тульская область;;;;;;3166;9929;2560;482873;0;0;;;387679
201;г.Тула, Ленина пр-кт, 138 п295,п296;ТУЛА;Тульская область;;;;;;4008;9916;2473;482873;0;0;;;387679
202;г.Тула, Немцова ул, 12;ТУЛА;Тульская область;;;;;;4642;9917;2458;482873;0;0;;;387679
203;г.Щекино, Ленина ул., 20;ЩЁКИНО;Тульская область;;;;;;2368;9998;2898;58139;0;0;;;387679
204;г.Обнинск, Киевское ш, 30;ОБНИНСК;Калужская область;;;;;;281;10015;2836;104739;0;0;;остановка;423321
