Address,City,Region,Postamat_daily
"г.Новомосковск, Вахрушева ул, 63А",НОВОМОСКОВСК,Тульская область,2.1
"г.Щекино, Льва Толстого ул., 25",ЩЁКИНО,Тульская область,2.0
"рп.Первомайск, Улитина пр-кт, 11",ПЕРВОМАЙСКИЙ,Тульская область,2.0
"г.Плавск, Коммунаров ул., 72 А",ПЛАВСК,Тульская область,2.0
"г.Венев, Южный мкр, 45",ВЕНЁВ,Тульская область,2.0
"г.Белев, Рабочая ул., 98А",БЕЛЁВ,Тульская область,2.3
"г.Новомосковск, Трудовой проезд, 2Б",НОВОМОСКОВСК,Тульская область,2.0
"г.Новомосковск, Комсомольская/Октябрьская ул, 34/25",НОВОМОСКОВСК,Тульская область,2.5
"г.Узловая, Трегубова ул., 33",УЗЛОВАЯ,Тульская область,2.0
"г.Суворов, Тульская ул., 13",СУВОРОВ,Тульская область,2.1
"г.Богородицк, Пушкинская ул., 14",БОГОРОДИЦК,Тульская область,2.0
"г.Киреевск, Гагарина ул., 10",КИРЕЕВСК,Тульская область,2.4
"г.Тула, Бондаренко ул, 35А",ТУЛА,Тульская область,3.2
"г.Тула, Ленина пр-кт, 138 п295,п296",ТУЛА,Тульская область,3.3
"г.Тула, Немцова ул, 12",ТУЛА,Тульская область,3.7
"г.Щекино, Ленина ул., 20",ЩЁКИНО,Тульская область,2.0
"п.Грицовский, Первомайская ул., 21",ГРИЦОВСКИЙ,Тульская область,2.0
"г.Тула, Максимовского ул, 15 п.2",ТУЛА,Тульская область,3.1
"г.Новомосковск, Победы пр-кт, 15",НОВОМОСКОВСК,Тульская область,2.2
"г.Тула, Машинистов ул",ТУЛА,Тульская область,2.4
"г.Тула, Маршала Жукова ул, 2",ТУЛА,Тульская область,3.0
"г.Тула, Новомосковское ш., 60А",ТУЛА,Тульская область,2.2
"г.Тула, Одоевское ш",ТУЛА,Тульская область,3.2
"г.Новомосковск, Рязанское ш., 9Д",НОВОМОСКОВСК,Тульская область,3.1
"г.Алексин, Пионерская ул., 16",АЛЕКСИН,Тульская область,2.0
"рп.Бородинский, Луговая ул., 32",БОРОДИНСКИЙ,Тульская область,2.0
"рп.Шварцевский, Ленина ул., 6",ШВАРЦЕВСКИЙ,Тульская область,2.1
"г.Ясногорск, Советская ул., 6",ЯСНОГОРСК,Тульская область,2.2
"г.Тула, 2-й Гастелло пр-д, 17 к.1",ТУЛА,Тульская область,2.4
"г.Тула, Жуковского ул, 80",ТУЛА,Тульская область,2.5
"г.Тула, Макаренко ул, 19 к.2,п.1",ТУЛА,Тульская область,3.1
"г.Плавск, Победы ул., 1 Е",ПЛАВСК,Тульская область,2.0
"г.Кимовск, Бессолова ул, 10",КИМОВСК,Тульская область,2.3
"г.Ефремов, Короткова ул, 20",ЕФРЕМОВ,Тульская область,2.2
"г.Тула, Щекинское ш, 26А",ТУЛА,Тульская область,2.3
